2020-10-23 5:39:34 - PHP Warning:  A non-numeric value encountered in C:\OpenServer\domains\some\system\library\image.php on line 166
2020-10-23 5:39:34 - PHP Warning:  imagecreatetruecolor() expects parameter 2 to be int, string given in C:\OpenServer\domains\some\system\library\image.php on line 169
2020-10-23 5:39:34 - PHP Warning:  imagealphablending() expects parameter 1 to be resource, null given in C:\OpenServer\domains\some\system\library\image.php on line 172
2020-10-23 5:39:34 - PHP Warning:  imagesavealpha() expects parameter 1 to be resource, null given in C:\OpenServer\domains\some\system\library\image.php on line 173
2020-10-23 5:39:34 - PHP Warning:  imagecolorallocatealpha() expects parameter 1 to be resource, null given in C:\OpenServer\domains\some\system\library\image.php on line 174
2020-10-23 5:39:34 - PHP Warning:  imagecolortransparent() expects parameter 1 to be resource, null given in C:\OpenServer\domains\some\system\library\image.php on line 175
2020-10-23 5:39:34 - PHP Warning:  imagefilledrectangle() expects parameter 1 to be resource, null given in C:\OpenServer\domains\some\system\library\image.php on line 180
2020-10-23 5:39:34 - PHP Warning:  imagecopyresampled() expects parameter 1 to be resource, null given in C:\OpenServer\domains\some\system\library\image.php on line 182
2020-10-23 5:39:34 - PHP Warning:  A non-numeric value encountered in C:\OpenServer\domains\some\system\library\image.php on line 149
2020-10-23 5:39:34 - PHP Warning:  A non-numeric value encountered in C:\OpenServer\domains\some\system\library\image.php on line 166
2020-10-23 5:39:34 - PHP Warning:  imagecreatetruecolor() expects parameter 2 to be int, string given in C:\OpenServer\domains\some\system\library\image.php on line 169
2020-10-23 5:39:34 - PHP Warning:  imagealphablending() expects parameter 1 to be resource, null given in C:\OpenServer\domains\some\system\library\image.php on line 172
2020-10-23 5:39:34 - PHP Warning:  imagesavealpha() expects parameter 1 to be resource, null given in C:\OpenServer\domains\some\system\library\image.php on line 173
2020-10-23 5:39:34 - PHP Warning:  imagecolorallocatealpha() expects parameter 1 to be resource, null given in C:\OpenServer\domains\some\system\library\image.php on line 174
2020-10-23 5:39:34 - PHP Warning:  imagecolortransparent() expects parameter 1 to be resource, null given in C:\OpenServer\domains\some\system\library\image.php on line 175
2020-10-23 5:39:34 - PHP Warning:  imagefilledrectangle() expects parameter 1 to be resource, null given in C:\OpenServer\domains\some\system\library\image.php on line 180
2020-10-23 5:39:34 - PHP Warning:  imagecopyresampled() expects parameter 1 to be resource, null given in C:\OpenServer\domains\some\system\library\image.php on line 182
2020-10-23 5:39:34 - PHP Warning:  A non-numeric value encountered in C:\OpenServer\domains\some\system\library\image.php on line 149
2020-10-23 5:39:34 - PHP Warning:  A non-numeric value encountered in C:\OpenServer\domains\some\system\library\image.php on line 166
2020-10-23 5:39:34 - PHP Warning:  imagecreatetruecolor() expects parameter 2 to be int, string given in C:\OpenServer\domains\some\system\library\image.php on line 169
2020-10-23 5:39:34 - PHP Warning:  imagealphablending() expects parameter 1 to be resource, null given in C:\OpenServer\domains\some\system\library\image.php on line 172
2020-10-23 5:39:34 - PHP Warning:  imagesavealpha() expects parameter 1 to be resource, null given in C:\OpenServer\domains\some\system\library\image.php on line 173
2020-10-23 5:39:34 - PHP Warning:  imagecolorallocatealpha() expects parameter 1 to be resource, null given in C:\OpenServer\domains\some\system\library\image.php on line 174
2020-10-23 5:39:34 - PHP Warning:  imagecolortransparent() expects parameter 1 to be resource, null given in C:\OpenServer\domains\some\system\library\image.php on line 175
2020-10-23 5:39:34 - PHP Warning:  imagefilledrectangle() expects parameter 1 to be resource, null given in C:\OpenServer\domains\some\system\library\image.php on line 180
2020-10-23 5:39:34 - PHP Warning:  imagecopyresampled() expects parameter 1 to be resource, null given in C:\OpenServer\domains\some\system\library\image.php on line 182
2020-10-23 5:41:02 - PHP Warning:  A non-numeric value encountered in C:\OpenServer\domains\some\system\library\image.php on line 149
2020-10-23 5:41:02 - PHP Warning:  A non-numeric value encountered in C:\OpenServer\domains\some\system\library\image.php on line 166
2020-10-23 5:41:02 - PHP Warning:  imagecreatetruecolor() expects parameter 2 to be int, string given in C:\OpenServer\domains\some\system\library\image.php on line 169
2020-10-23 5:41:02 - PHP Warning:  imagealphablending() expects parameter 1 to be resource, null given in C:\OpenServer\domains\some\system\library\image.php on line 172
2020-10-23 5:41:02 - PHP Warning:  imagesavealpha() expects parameter 1 to be resource, null given in C:\OpenServer\domains\some\system\library\image.php on line 173
2020-10-23 5:41:02 - PHP Warning:  imagecolorallocatealpha() expects parameter 1 to be resource, null given in C:\OpenServer\domains\some\system\library\image.php on line 174
2020-10-23 5:41:02 - PHP Warning:  imagecolortransparent() expects parameter 1 to be resource, null given in C:\OpenServer\domains\some\system\library\image.php on line 175
2020-10-23 5:41:02 - PHP Warning:  imagefilledrectangle() expects parameter 1 to be resource, null given in C:\OpenServer\domains\some\system\library\image.php on line 180
2020-10-23 5:41:02 - PHP Warning:  imagecopyresampled() expects parameter 1 to be resource, null given in C:\OpenServer\domains\some\system\library\image.php on line 182
2020-10-23 5:41:02 - PHP Warning:  A non-numeric value encountered in C:\OpenServer\domains\some\system\library\image.php on line 149
2020-10-23 5:41:02 - PHP Warning:  A non-numeric value encountered in C:\OpenServer\domains\some\system\library\image.php on line 166
2020-10-23 5:41:02 - PHP Warning:  imagecreatetruecolor() expects parameter 2 to be int, string given in C:\OpenServer\domains\some\system\library\image.php on line 169
2020-10-23 5:41:02 - PHP Warning:  imagealphablending() expects parameter 1 to be resource, null given in C:\OpenServer\domains\some\system\library\image.php on line 172
2020-10-23 5:41:02 - PHP Warning:  imagesavealpha() expects parameter 1 to be resource, null given in C:\OpenServer\domains\some\system\library\image.php on line 173
2020-10-23 5:41:02 - PHP Warning:  imagecolorallocatealpha() expects parameter 1 to be resource, null given in C:\OpenServer\domains\some\system\library\image.php on line 174
2020-10-23 5:41:02 - PHP Warning:  imagecolortransparent() expects parameter 1 to be resource, null given in C:\OpenServer\domains\some\system\library\image.php on line 175
2020-10-23 5:41:02 - PHP Warning:  imagefilledrectangle() expects parameter 1 to be resource, null given in C:\OpenServer\domains\some\system\library\image.php on line 180
2020-10-23 5:41:02 - PHP Warning:  imagecopyresampled() expects parameter 1 to be resource, null given in C:\OpenServer\domains\some\system\library\image.php on line 182
2020-10-23 5:41:02 - PHP Warning:  A non-numeric value encountered in C:\OpenServer\domains\some\system\library\image.php on line 149
2020-10-23 5:41:02 - PHP Warning:  A non-numeric value encountered in C:\OpenServer\domains\some\system\library\image.php on line 166
2020-10-23 5:41:02 - PHP Warning:  imagecreatetruecolor() expects parameter 2 to be int, string given in C:\OpenServer\domains\some\system\library\image.php on line 169
2020-10-23 5:41:02 - PHP Warning:  imagealphablending() expects parameter 1 to be resource, null given in C:\OpenServer\domains\some\system\library\image.php on line 172
2020-10-23 5:41:02 - PHP Warning:  imagesavealpha() expects parameter 1 to be resource, null given in C:\OpenServer\domains\some\system\library\image.php on line 173
2020-10-23 5:41:02 - PHP Warning:  imagecolorallocatealpha() expects parameter 1 to be resource, null given in C:\OpenServer\domains\some\system\library\image.php on line 174
2020-10-23 5:41:02 - PHP Warning:  imagecolortransparent() expects parameter 1 to be resource, null given in C:\OpenServer\domains\some\system\library\image.php on line 175
2020-10-23 5:41:02 - PHP Warning:  imagefilledrectangle() expects parameter 1 to be resource, null given in C:\OpenServer\domains\some\system\library\image.php on line 180
2020-10-23 5:41:02 - PHP Warning:  imagecopyresampled() expects parameter 1 to be resource, null given in C:\OpenServer\domains\some\system\library\image.php on line 182
2020-10-23 5:41:02 - PHP Warning:  A non-numeric value encountered in C:\OpenServer\domains\some\system\library\image.php on line 149
2020-10-23 5:41:02 - PHP Warning:  A non-numeric value encountered in C:\OpenServer\domains\some\system\library\image.php on line 166
2020-10-23 5:41:02 - PHP Warning:  imagecreatetruecolor() expects parameter 2 to be int, string given in C:\OpenServer\domains\some\system\library\image.php on line 169
2020-10-23 5:41:02 - PHP Warning:  imagealphablending() expects parameter 1 to be resource, null given in C:\OpenServer\domains\some\system\library\image.php on line 172
2020-10-23 5:41:02 - PHP Warning:  imagesavealpha() expects parameter 1 to be resource, null given in C:\OpenServer\domains\some\system\library\image.php on line 173
2020-10-23 5:41:02 - PHP Warning:  imagecolorallocatealpha() expects parameter 1 to be resource, null given in C:\OpenServer\domains\some\system\library\image.php on line 174
